date&time,raw_yaw,filter_yaw,smooth_yaw,raw_pitch,filter_pitch,smooth_pitch,
05-07-2020 21:59,-12,-12,-12,-12,-12,-12, 
05-07-2020 21:59,-12,-12,-12,-12,-12,-12, 
05-07-2020 21:59,-13,-13,-13,-13,-13,-13, 
05-07-2020 21:59,-12,-12,-12,-12,-12,-12, 
05-07-2020 21:59,-12,-12,-12,-12,-12,-12, 
05-07-2020 21:59,-12,-12,-12,-12,-12,-12, 
05-07-2020 21:59,-13,-13,-13,-13,-13,-13, 
05-07-2020 22:00,-13,-13,-13,-13,-13,-13, 
05-07-2020 22:00,-13,-13,-13,-13,-13,-13, 
05-07-2020 22:00,-13,-13,-13,-13,-13,-13, 
05-07-2020 22:00,-13,-13,-13,-13,-13,-13, 
05-07-2020 22:00,-12,-12,-12,-12,-12,-12, 
05-07-2020 22:00,-12,-12,-12,-12,-12,-12, 
05-07-2020 22:00,-12,-12,-12,-12,-12,-12, 
05-07-2020 22:00,-12,-12,-12,-12,-12,-12, 
05-07-2020 22:00,-11,-11,-11,-12,-12,-12, 
05-07-2020 22:00,6,6,6,-12,-12,-12, 
05-07-2020 22:00,6,6,6,-12,-12,-12, 
05-07-2020 22:00,4,4,4,-12,-12,-12, 
05-07-2020 22:00,7,7,7,-12,-12,-12, 
05-07-2020 22:00,7,7,7,-12,-12,-12, 
05-07-2020 22:00,5,5,5,-12,-12,-12, 
05-07-2020 22:00,8,8,8,-11,-11,-11, 
05-07-2020 22:00,8,8,8,8,8,8, 
05-07-2020 22:00,8,8,8,8,8,8, 
05-07-2020 22:00,7,7,7,7,7,7, 
05-07-2020 22:00,7,7,7,7,7,7, 
05-07-2020 22:00,8,8,8,8,8,8, 
05-07-2020 22:00,8,8,8,8,8,8, 
05-07-2020 22:00,8,8,8,8,8,8, 
05-07-2020 22:00,8,8,8,8,8,8, 
05-07-2020 22:00,8,8,8,8,8,8, 
05-07-2020 22:00,9,9,9,8,8,8, 
05-07-2020 22:00,12,12,12,8,8,8, 
05-07-2020 22:00,12,12,12,8,8,8, 
05-07-2020 22:00,12,12,12,8,8,8, 
05-07-2020 22:00,12,12,12,8,8,8, 
05-07-2020 22:00,11,11,11,11,11,11, 
05-07-2020 22:00,11,11,11,11,11,11, 
05-07-2020 22:00,12,12,12,12,12,12, 
05-07-2020 22:00,12,12,12,12,12,12, 
05-07-2020 22:00,12,12,12,12,12,12, 
05-07-2020 22:00,12,12,12,12,12,12, 
05-07-2020 22:00,11,11,11,12,12,12, 
05-07-2020 22:00,12,12,12,12,12,12, 
05-07-2020 22:00,12,12,12,12,12,12, 
05-07-2020 22:00,12,12,12,12,12,12, 
05-07-2020 22:00,12,12,12,12,12,12, 
05-07-2020 22:00,12,12,12,12,12,12, 
05-07-2020 22:00,12,12,12,12,12,12, 
05-07-2020 22:00,12,12,12,12,12,12, 
05-07-2020 22:00,11,11,11,12,12,12, 
05-07-2020 22:00,11,11,11,12,12,12, 
05-07-2020 22:00,11,11,11,12,12,12, 
05-07-2020 22:00,11,11,11,12,12,12, 
